CN,Realization,diameter,H,albedo,taxonomy,density,porosity,strength,base_density,mass,a,b,c
NA,528402,151.1086639692188,21.79121728260479,0.14858819850187285,S,1349.7522163260194,0.5868898719602614,154304.46717414018,3267.2939361975214,2438488820.6133184,124.30534589579582,115.87295129425576,239.55002598417
NA,733499,149.6073029122497,21.31276296849277,0.23552617939836343,S,2449.192702036873,0.33575709719015273,989184.9865533886,3687.1943857833026,4294177182.2799406,118.55069316725204,116.86585633208078,241.6944275779001
NA,711542,150.96962435633924,21.374194837864245,0.2185711704219924,S,1854.121001243413,0.4758303610236062,120184.1370701671,3537.253712107721,3340453408.297923,117.58462434348932,124.90293614802285,234.2855694926621
NA,754797,150.26740416487775,21.214881580153925,0.2554863851409406,S,2677.7016026419506,0.16902185989843532,7094570.784160837,3222.3490287177397,4757241000.7743225,117.92382975051576,117.49274990306836,244.8960096597851
NA,538164,149.75447606013108,21.81668886792481,0.14777970343092456,S,1756.1276789305475,0.48294731153015447,180036.79746487926,3396.41920077351,3088119845.943028,121.80702811116764,115.2841577994416,239.164908237996
NA,657857,153.21075883292264,21.43376384932726,0.20089350453519728,S,2243.6038444232036,0.39471120930962034,424649.8299522131,3706.666766229383,4224862591.0125456,114.91587025880789,124.53234037792808,251.30760449365184
NA,479179,150.82667084717383,21.846885171211216,0.14169013144993223,S,2275.127862080404,0.2243581085358533,1075083.1678765628,2933.2194239608957,4087322129.4470572,116.30094404320975,125.3431198806208,235.3697764618552
NA,866069,150.62613348926735,20.962637130141708,0.32077052406377626,S,2457.5590746819075,0.2613129363664415,2187480.0219960082,3326.9285407454113,4397476960.1293535,116.5254698336173,123.5178847436248,237.43802754129007
NA,594377,151.0027077517426,21.601658211718377,0.17718102391150314,S,1902.7511052655188,0.38534374591435216,328141.5660265102,3095.6344991494784,3430321381.623601,117.62700054583853,122.81060037773334,238.34789891411071
NA,629995,149.49549579688994,21.52066130012146,0.19477321195162367,S,1922.5973816088604,0.4514671470997662,271012.2104422928,3504.981281328174,3363344027.038703,118.74025500705405,120.3256759920612,233.8449717968869
NA,363179,151.51568040442675,22.39947262343984,0.08440064229327254,S,2629.461970194091,0.22879342754508017,2606620.9717224473,3409.542999385931,4788927448.7612505,118.72017928581432,121.40796068062276,241.32428786985912
NA,641673,151.1346586176096,21.446071292849776,0.20412364084210713,S,2220.5153724563847,0.3250831556934665,1288805.4151119434,3290.0577177591854,4013697283.572851,118.06765072500384,119.63576038541504,244.39947688871737
NA,541431,154.8058223364764,21.718478754778168,0.15138536020421886,S,3608.625873284333,0.05301984396900999,8570093.273312261,3810.6668342543812,7009747155.93105,122.41330179277024,126.394553799792,239.77555172304005
NA,539303,145.96633533057522,21.876061675568227,0.14727189747069494,S,2613.609892769927,0.18917593593799148,4223816.125188747,3223.3995124373223,4255959647.38329,114.22448206785556,119.59910672452664,227.65174336050555
NA,534980,151.93126813591306,21.66968442093561,0.16439244997345376,S,2304.3911235038177,0.3083546313317045,1554559.0669732837,3331.7524093896955,4231519089.2416344,119.59155742342828,125.1483621588504,234.32347348840503
NA,695006,150.2310247359673,21.325704161764047,0.23080703286405185,S,2309.4992439196494,0.33444893618265764,995900.6621148532,3470.0556718717557,4100108368.3366995,125.3723062470739,112.72139805629854,239.92246090662803
NA,545047,150.90924570490463,21.695887991835693,0.16265337097758892,S,2780.9353225220216,0.16898551130057018,6334098.412650395,3346.4342202676803,5004227622.330004,118.18516480656768,114.8426593283216,253.21028342291368
NA,537998,149.60831709409334,21.782774035204977,0.15276676160050554,S,2284.6035415333204,0.2841365387237158,1320415.3096824738,3191.3956572950274,4005683957.245572,121.74000393536166,117.63875632671564,233.82098038316803
NA,719781,148.78287318767593,21.334230913362735,0.23348109104009343,S,2299.4567900775596,0.26877062691729237,2850583.865918732,3144.6449974835373,3965360708.7759976,126.00211979683144,113.5999818785144,230.09263100108151
NA,836583,152.6081928394455,21.01361894580968,0.2981581496034051,S,2227.694704411243,0.3442745105561246,499785.2015299294,3397.297711120799,4145604274.054435,126.55492210393813,115.5794048060239,242.98197295070383
NA,590583,147.55555159336663,21.65252370652691,0.1770636332295835,S,2599.3019361560227,0.28036440005573826,1090270.7850370416,3611.969636239991,4372421432.0191555,124.06042639286844,111.4988810084002,232.2538294325321
